acceleration,position,velocity,
-2.5,0,0,
-2.5,-0.0005,-0.05,
-2.5,-0.002,-0.1,
-2.5,-0.0045,-0.15,
-2.5,-0.008,-0.2,
-2.5,-0.0125,-0.25,
-2.5,-0.018000000000000006,-0.30000000000000004,
-2.5,-0.024500000000000004,-0.35000000000000003,
-2.5,-0.032,-0.4,
-2.5,-0.040499999999999994,-0.44999999999999996,
-2.5,-0.04999999999999999,-0.49999999999999994,
-2.5,-0.060499999999999984,-0.5499999999999999,
-2.5,-0.07199999999999997,-0.5999999999999999,
-2.5,-0.08449999999999998,-0.6499999999999999,
-2.5,-0.09799999999999999,-0.7,
-2.5,-0.11249999999999999,-0.75,
-2.5,-0.128,-0.8,
-2.5,-0.14450000000000002,-0.8500000000000001,
-2.5,-0.16200000000000003,-0.9000000000000001,
-2.5,-0.18050000000000005,-0.9500000000000002,
-2.5,-0.2000000000000001,-1.0000000000000002,
-2.5,-0.2205000000000001,-1.0500000000000003,
-2.5,-0.24200000000000013,-1.1000000000000003,
-2.5,-0.2645000000000002,-1.1500000000000004,
-2.5,-0.2880000000000002,-1.2000000000000004,
-2.5,-0.3125000000000001,-1.2500000000000002,
-2.5,-0.33800000000000013,-1.3000000000000003,
-2.5,-0.36450000000000016,-1.3500000000000003,
-2.5,-0.39200000000000024,-1.4000000000000004,
-2.5,-0.42050000000000026,-1.4500000000000004,
-2.5,-0.4500000000000003,-1.5000000000000004,
-2.5,-0.4805000000000003,-1.5500000000000005,
-2.5,-0.5120000000000003,-1.6000000000000005,
2.5,-0.5435962837615929,-1.5549360090040625,
2.5,-0.5741950039416741,-1.5049360090040624,
2.5,-0.6037937241217554,-1.4549360090040624,
2.5,-0.6323924443018366,-1.4049360090040623,
2.5,-0.6599911644819179,-1.3549360090040623,
2.5,-0.6865898846619991,-1.3049360090040625,
2.5,-0.7121886048420804,-1.2549360090040622,
2.5,-0.7367873250221616,-1.2049360090040624,
2.5,-0.7603860452022428,-1.1549360090040623,
2.5,-0.7829847653823241,-1.1049360090040623,
2.5,-0.8045834855624053,-1.0549360090040625,
2.5,-0.8251822057424865,-1.0049360090040624,
2.5,-0.8447809259225678,-0.9549360090040625,
2.5,-0.8633796461026491,-0.9049360090040625,
2.5,-0.8809783662827303,-0.8549360090040624,
2.5,-0.8975770864628115,-0.8049360090040624,
2.5,-0.9131758066428928,-0.7549360090040623,
2.5,-0.927774526822974,-0.7049360090040623,
2.5,-0.9413732470030554,-0.6549360090040622,
2.5,-0.9539719671831366,-0.6049360090040622,
2.5,-0.9655706873632178,-0.554936009004062,
2.5,-0.9761694075432992,-0.5049360090040622,
2.5,-0.9857681277233803,-0.45493600900406195,
2.5,-0.9943668479034616,-0.4049360090040621,
2.5,-1.0019655680835429,-0.35493600900406186,
2.5,-1.008564288263624,-0.30493600900406204,
2.5,-1.0141630084437052,-0.25493600900406177,
2.5,-1.0187617286237867,-0.20493600900406195,
2.5,-1.0223604488038678,-0.15493600900406168,
2.5,-1.024959168983949,-0.10493600900406186,
2.5,-1.0265578891640303,-0.05493600900406159,
2.5,-1.0271566093441116,-0.00493600900406177,
